wk_strt_dt,yr_nbr,qtr_nbr,prd,wk_in_yr_nbr,delivery,mtrf_mintemp,mtrf_maxtemp,mtrf_rain,mtrf_humi9am,mtrf_wind9am,mtrf_pressure9am,mtrf_humi3pm,mtrf_wind3pm,mtrf_pressure3pm,seas_prd_1,seas_prd_2,seas_prd_3,seas_prd_4,seas_prd_5,seas_prd_6,seas_prd_7,seas_prd_8,seas_prd_9,seas_prd_10,seas_prd_11,seas_prd_12
30/12/2017,2017,2,12,53,1320,15,23.4,1.00E-14,71,20,1007.7,22,24,1007.1,0,0,0,0,0,0,0,0,0,0,0,1
6/01/2018,2018,3,1,1,1415,15.6,24.8,1.00E-14,44,4,1010.6,25,22,1007.8,1,0,0,0,0,0,0,0,0,0,0,0
13/01/2018,2018,3,1,2,899,18.2,23.8,11.6,38,19,1007.6,30,26,1008.7,1,0,0,0,0,0,0,0,0,0,0,0
20/01/2018,2018,3,1,3,660,12.3,23.7,1.00E-14,45,11,1017.6,16,9,1012.8,1,0,0,0,0,0,0,0,0,0,0,0
27/01/2018,2018,3,1,4,1300.382431,12,22.8,1.00E-14,82,7,1010.8,33,20,1006,1,0,0,0,0,0,0,0,0,0,0,0
3/02/2018,2018,3,2,5,1402.789927,12.7,23,1.00E-14,55,19,1009.2,23,24,1005.4,0,1,0,0,0,0,0,0,0,0,0,0
10/02/2018,2018,3,2,6,924.3385182,12.5,23.6,1.00E-14,49,20,1009.6,19,24,1008.2,0,1,0,0,0,0,0,0,0,0,0,0
17/02/2018,2018,3,2,7,958.6726357,12.4,22.6,1.00E-14,48,6,1013.4,19,17,1010.1,0,1,0,0,0,0,0,0,0,0,0,0
24/02/2018,2018,3,2,8,1057.03182,14.7,24.3,0.4,42,7,1008.9,9,28,1003.6,0,1,0,0,0,0,0,0,0,0,0,0
3/03/2018,2018,3,3,9,221.1022419,15.2,27.7,2,58,15,1007,27,11,1005.7,0,0,1,0,0,0,0,0,0,0,0,0
10/03/2018,2018,3,3,10,351.5037237,14.9,25.3,0.2,48,17,1011.8,22,6,1008.7,0,0,1,0,0,0,0,0,0,0,0,0
17/03/2018,2018,3,3,11,1219.403278,14.6,23.7,1.00E-14,89,15,1010.5,91,13,1004.2,0,0,1,0,0,0,0,0,0,0,0,0
24/03/2018,2018,3,3,12,963.2798822,12.7,26.3,1.00E-14,76,28,994.3,93,28,993,0,0,1,0,0,0,0,0,0,0,0,0
31/03/2018,2018,3,3,13,146.4683488,12.7,24.4,1.00E-14,65,24,1001.2,43,20,1001.8,0,0,1,0,0,0,0,0,0,0,0,0
7/04/2018,2018,4,4,14,1307.304747,12.2,24.5,0.2,57,4,1009.7,32,30,1008.7,0,0,0,1,0,0,0,0,0,0,0,0
14/04/2018,2018,4,4,15,1045.025663,15.5,25.1,1.00E-14,50,17,1013.4,28,22,1010.3,0,0,0,1,0,0,0,0,0,0,0,0
21/04/2018,2018,4,4,16,1057.978519,20.2,27.2,0.8,69,11,1012.2,82,9,1010.4,0,0,0,1,0,0,0,0,0,0,0,0
28/04/2018,2018,4,4,17,1345.91033,12.7,28.6,0.4,80,6,1005.8,65,20,1002.2,0,0,0,1,0,0,0,0,0,0,0,0
5/05/2018,2018,4,5,18,1547.229051,14.6,28.3,1.00E-14,47,24,1009.4,32,17,1009.7,0,0,0,0,1,0,0,0,0,0,0,0
12/05/2018,2018,4,5,19,908.3405781,15.9,27.5,11.2,45,17,1019.2,26,6,1017.1,0,0,0,0,1,0,0,0,0,0,0,0
19/05/2018,2018,4,5,20,1140.649959,15.1,24.8,0.2,56,9,1019.3,28,9,1014.8,0,0,0,0,1,0,0,0,0,0,0,0
26/05/2018,2018,4,5,21,541.4447467,19.7,23.5,1.00E-14,38,17,1013.6,28,22,1008.1,0,0,0,0,1,0,0,0,0,0,0,0
2/06/2018,2018,4,6,22,1502.725422,16.3,28.5,18.8,54,19,1007.8,24,20,1005.7,0,0,0,0,0,1,0,0,0,0,0,0
9/06/2018,2018,4,6,23,1287.284367,13.8,28.1,0.2,55,6,1011,23,13,1008.2,0,0,0,0,0,1,0,0,0,0,0,0
16/06/2018,2018,4,6,24,501.35462,13.1,28.3,1.00E-14,49,4,1012.9,17,19,1010.1,0,0,0,0,0,1,0,0,0,0,0,0
23/06/2018,2018,4,6,25,226.2275039,13.5,27,1.00E-14,45,9,1010.9,19,13,1007.6,0,0,0,0,0,1,0,0,0,0,0,0
30/06/2018,2018,4,6,26,770.7034811,15.6,26.6,1.00E-14,41,1.00E-14,1006.8,28,26,1003.6,0,0,0,0,0,1,0,0,0,0,0,0
7/07/2018,2018,1,7,27,628.371675,17.8,25.6,1.00E-14,56,13,1005.2,15,30,1001.7,0,0,0,0,0,0,1,0,0,0,0,0
14/07/2018,2018,1,7,28,1021.740701,18.3,22.3,0.2,49,19,1004.8,22,30,1004.2,0,0,0,0,0,0,1,0,0,0,0,0
21/07/2018,2018,1,7,29,277.7252407,9.9,27,1.00E-14,78,11,1005.6,70,22,1003.4,0,0,0,0,0,0,1,0,0,0,0,0
28/07/2018,2018,1,7,30,811.1600207,13,26.5,1.00E-14,48,17,1006.1,28,17,1005.1,0,0,0,0,0,0,1,0,0,0,0,0
4/08/2018,2018,1,8,31,936.8737025,16,19.7,1.8,46,19,1004.5,26,31,1003.2,0,0,0,0,0,0,0,1,0,0,0,0
